U10712502,吳明沛,184.0 ,47.0 ,M,G2,D0006,1999/03/26,u042@gmail.com
U10712503,劉春榮,172.0 ,53.0 ,M,G2,D0001,1999/04/07,u043@gmail.com
U10712504,林來富,182.0 ,41.0 ,M,G2,D0002,1999/04/19,u044@gmail.com
U10712505,葉秀春,185.0 ,61.0 ,F,G2,D0003,1999/05/01,u045@gmail.com
U10712506,王慕飛,146.0 ,67.0 ,M,G2,D0004,1999/05/13,u046@gmail.com
U10712507,黃世亮,183.0 ,49.0 ,M,G2,D0005,1999/05/25,u047@gmail.com
U10712508,張明順,184.0 ,54.0 ,M,G2,D0006,1999/06/06,u048@gmail.com
U10712509,汪湧金,161.0 ,98.0 ,M,G2,D0001,1999/06/18,u049@gmail.com
U10712510,曾英祥,169.0 ,79.0 ,M,G2,D0002,1998/06/30,u050@gmail.com
U10712511,鍾君杰,167.0 ,91.0 ,M,G2,D0003,1999/07/12,u051@gmail.com
U10712512,張影增,176.0 ,54.0 ,F,G2,D0004,1999/07/24,u052@gmail.com
U10712513,葉秀燕,168.5 ,56.0 ,F,G2,D0005,1999/08/05,u053@gmail.com
U10712514,陳高福,154.0 ,97.0 ,M,G2,D0006,1999/08/17,u054@gmail.com
U10712515,曾涼福,163.0 ,52.0 ,M,G2,D0001,1999/08/29,u055@gmail.com
U10712516,黃玉琴,147.0 ,63.0 ,F,G2,D0002,1999/09/10,u056@gmail.com
U10712517,候永生,153.0 ,74.0 ,M,G2,D0003,1998/09/22,u057@gmail.com
U10712518,鄧瑞忠,180.5 ,43.0 ,M,G2,D0004,1999/10/04,u058@gmail.com
U10712519,吳金琴,166.0 ,47.0 ,F,G2,D0005,1999/10/16,u059@gmail.com
U10712520,陳秀卿,147.0 ,94.0 ,F,G2,D0001,1999/10/28,u060@gmail.com
U10821101,吳妍儀,177.0 ,39.0 ,F,G1,D0002,1999/11/29,u061@gmail.com
U10821102,林龔富,162.5 ,45.0 ,M,G1,D0003,2000/01/14,u062@gmail.com
U10821103,張修昌,168.0 ,47.0 ,M,G1,D0004,2000/02/29,u063@gmail.com
U10821104,陳秀仰,166.0 ,60.0 ,F,G1,D0005,2000/04/15,u064@gmail.com
U10821105,葉玉蓮,147.0 ,45.0 ,F,G1,D0003,2000/05/31,u065@gmail.com
U10821106,楊樹榮,154.5 ,41.0 ,M,G1,D0004,2000/07/16,u066@gmail.com
U10821107,鄧嘉龍,151.0 ,60.0 ,M,G1,D0005,2000/08/31,u067@gmail.com
U10821108,黃俊仁,174.0 ,47.0 ,M,G1,D0003,2000/10/16,u068@gmail.com
U10821109,張貴珍,171.0 ,74.0 ,F,G1,D0004,2000/12/01,u069@gmail.com
U10821110,李明安,173.0 ,93.5 ,M,G1,D0005,1999/12/03,u070@gmail.com
U10821111,胡碧爵,164.5 ,67.0 ,F,G1,D0005,2000/11/11,u071@gmail.com
U10821112,林志成,149.0 ,97.0 ,M,G1,D0006,2000/10/21,u072@gmail.com
U10821113,曾仁平,160.0 ,92.0 ,M,G1,D0001,2000/09/30,u073@gmail.com
U10821114,高國譯,172.0 ,54.0 ,M,G1,D0002,2000/09/09,u074@gmail.com
U10821115,吳瑞芳,158.5 ,84.0 ,F,G1,D0003,2000/08/19,u075@gmail.com
U10821116,劉秀珠,185.0 ,39.0 ,F,G1,D0004,2000/07/29,u076@gmail.com
U10821117,張育琰,159.0 ,85.0 ,M,G1,D0005,2000/07/08,u077@gmail.com
U10821118,宋傳良,171.0 ,92.0 ,M,G1,D0006,2000/06/17,u078@gmail.com
U10821119,陳德謙,182.5 ,41.0 ,M,G1,D0001,2000/05/27,u079@gmail.com
U10821120,陳元黃,165.5 ,71.0 ,F,G1,D0002,2000/05/06,u080@gmail.com
U10821121,張榮富,184.0 ,47.0 ,M,G1,D0003,2000/04/15,u081@gmail.com
U10821122,林傳祥,182.0 ,98.0 ,M,G1,D0004,2000/03/25,u082@gmail.com
U10821123,吳玉蘭,166.5 ,64.0 ,F,G1,D0005,2000/03/04,u083@gmail.com
U10821124,范明明,170.5 ,87.0 ,F,G1,D0006,1999/02/12,u084@gmail.com
U10821125,華先進,178.5 ,71.0 ,M,G1,D0001,2000/01/22,u085@gmail.com
U10821126,陳慧娟,166.0 ,87.0 ,F,G1,D0002,2000/01/01,u086@gmail.com
U10821127,陳秀芳,163.0 ,66.0 ,F,G1,D0003,1999/12/11,u087@gmail.com
U10821128,黃淑勤,171.0 ,81.0 ,F,G1,D0004,1999/11/20,u088@gmail.com
U10821129,葉國鐘,174.0 ,99.0 ,M,G1,D0001,1999/10/30,u089@gmail.com
U10821130,林建宏,157.0 ,84.0 ,M,G1,D0002,1999/10/09,u090@gmail.com
